Mu_M,Mu_C,Stable,dB_Reduction,Recovery_MSE,Peak
0.0001,1e-07,True,0.0067708249067399955,0.13044715016654435,0.7027346302990253
0.0001,2.6826957952797275e-07,True,-0.012263629208150897,0.12979755162874204,0.7097852630549006
0.0001,7.196856730011514e-07,True,0.019730739008351247,0.12983926279854618,0.6741647339102331
0.0001,1.9306977288832498e-06,True,0.0384412764516061,0.14167750798722709,0.6830767515237519
0.0001,5.179474679231212e-06,True,-0.21002590421335415,0.1247616595426718,0.7160514713185588
0.0001,1.389495494373136e-05,True,-0.014303346412234658,0.1290131048495172,0.6950813404149365
0.0001,3.727593720314938e-05,True,0.28414095457926447,0.12506225444367447,0.8847358683399356
0.0001,0.0001,False,-99.0,999.0,19.844520874681407
0.0001,0.00026826957952797245,False,-99.0,999.0,2.079174020964273
0.0001,0.0007196856730011514,False,-99.0,999.0,14.524790868686313
0.0001,0.0019306977288832496,False,-99.0,999.0,310.8150212312166
0.0001,0.005179474679231213,False,-99.0,999.0,969.8274088187367
0.0001,0.01389495494373136,False,-99.0,999.0,1501.7808588521023
0.0001,0.03727593720314938,False,-99.0,999.0,1288.3150790895622
0.0001,0.1,False,-99.0,999.0,460204.6087646164
0.00019306977288832496,1e-07,True,0.0018002915797210724,0.13123840553294558,0.7029241702352599
0.00019306977288832496,2.6826957952797275e-07,True,-0.005997793085137245,0.1292986164686261,0.685087362684259
0.00019306977288832496,7.196856730011514e-07,True,-0.07325519335679684,0.1357580731251555,0.7077247468196636
0.00019306977288832496,1.9306977288832498e-06,True,0.07596450176700217,0.1317516593327612,0.6733771199082779
0.00019306977288832496,5.179474679231212e-06,True,-0.12679003152837803,0.11690595630524285,0.7407371068376288
0.00019306977288832496,1.389495494373136e-05,True,-0.9338305792777444,0.14123955340276265,0.8837792388627035
0.00019306977288832496,3.727593720314938e-05,True,-0.6462456404979683,0.21404332366900314,1.2742247070263408
0.00019306977288832496,0.0001,False,-99.0,999.0,4.271903460512171
0.00019306977288832496,0.00026826957952797245,False,-99.0,999.0,20.219076257298997
0.00019306977288832496,0.0007196856730011514,False,-99.0,999.0,20.628711192191545
0.00019306977288832496,0.0019306977288832496,False,-99.0,999.0,11751.54735631807
0.00019306977288832496,0.005179474679231213,False,-99.0,999.0,7.7998269314806565
0.00019306977288832496,0.01389495494373136,False,-99.0,999.0,1073.9422827891299
0.00019306977288832496,0.03727593720314938,False,-99.0,999.0,19052.22696180448
0.00019306977288832496,0.1,False,-99.0,999.0,44362.821024122546
0.0003727593720314938,1e-07,True,-0.005050828288646145,0.13016175553952308,0.6653412080939395
0.0003727593720314938,2.6826957952797275e-07,True,-0.03318757043376767,0.1291764135449047,0.6989670918730735
0.0003727593720314938,7.196856730011514e-07,True,0.029020606396325754,0.13477677030766877,0.681241217258646
0.0003727593720314938,1.9306977288832498e-06,True,-0.277711275841143,0.12020183549806825,0.7539041907682491
0.0003727593720314938,5.179474679231212e-06,True,0.19573573100970185,0.12648140584591439,0.7400775987785522
0.0003727593720314938,1.389495494373136e-05,True,-1.2340585898854073,0.22462786946978042,1.1780358869213083
0.0003727593720314938,3.727593720314938e-05,False,-99.0,999.0,2.153154074629455
0.0003727593720314938,0.0001,False,-99.0,999.0,12.130487872105938
0.0003727593720314938,0.00026826957952797245,False,-99.0,999.0,174.70636585982328
0.0003727593720314938,0.0007196856730011514,False,-99.0,999.0,116.68542038947311
0.0003727593720314938,0.0019306977288832496,False,-99.0,999.0,594.5112364843753
0.0003727593720314938,0.005179474679231213,False,-99.0,999.0,17.106559412499536
0.0003727593720314938,0.01389495494373136,False,-99.0,999.0,1930.1453865759534
0.0003727593720314938,0.03727593720314938,False,-99.0,999.0,1664.4804006644983
0.0003727593720314938,0.1,False,-99.0,999.0,34127.162375042
0.0007196856730011522,1e-07,True,-0.00273233972990844,0.13151585560862156,0.6773668853984677
0.0007196856730011522,2.6826957952797275e-07,True,0.004224645856945848,0.13276822080203182,0.6894901966407421
