Mu_M,Mu_C,Reduction_dB,Stability,Convergence_Delay,Score
0.0001,1e-07,0.010908067432079826,STABLE,0,0.010908067432079826
0.0001,4.641588833612782e-07,-0.08173010645743886,STABLE,0,-0.08173010645743886
0.0001,2.1544346900318822e-06,-0.1352913190657782,STABLE,0,-0.1352913190657782
0.0001,9.999999999999999e-06,-0.09485763086553184,STABLE,0,-0.09485763086553184
0.0001,4.641588833612772e-05,-99.0,BROKEN,0,-100
0.0001,0.00021544346900318823,-99.0,BROKEN,0,-100
0.0001,0.001,-99.0,BROKEN,1,-100
0.0001,0.004641588833612773,-99.0,BROKEN,5,-100
0.0001,0.021544346900318822,-99.0,BROKEN,1,-100
0.0001,0.1,-99.0,BROKEN,5,-100
0.0002782559402207126,1e-07,-0.008074233658553719,STABLE,0,-0.008074233658553719
0.0002782559402207126,4.641588833612782e-07,0.08457191401716799,STABLE,0,0.08457191401716799
0.0002782559402207126,2.1544346900318822e-06,0.42047161106312686,STABLE,0,0.42047161106312686
0.0002782559402207126,9.999999999999999e-06,-2.5046215207302414,STABLE,0,-2.5046215207302414
0.0002782559402207126,4.641588833612772e-05,-3.7141679461753885,STABLE,0,-3.7141679461753885
0.0002782559402207126,0.00021544346900318823,-99.0,BROKEN,0,-100
0.0002782559402207126,0.001,-99.0,BROKEN,2,-100
0.0002782559402207126,0.004641588833612773,-99.0,BROKEN,5,-100
0.0002782559402207126,0.021544346900318822,-99.0,BROKEN,2,-100
0.0002782559402207126,0.1,-99.0,BROKEN,2,-100
0.000774263682681127,1e-07,-0.016006646271337126,STABLE,0,-0.016006646271337126
0.000774263682681127,4.641588833612782e-07,0.09947914593657349,STABLE,0,0.09947914593657349
0.000774263682681127,2.1544346900318822e-06,0.431026705494958,STABLE,0,0.431026705494958
0.000774263682681127,9.999999999999999e-06,-99.0,BROKEN,0,-100
0.000774263682681127,4.641588833612772e-05,-99.0,BROKEN,0,-100
0.000774263682681127,0.00021544346900318823,-99.0,BROKEN,2,-100
0.000774263682681127,0.001,-99.0,BROKEN,1,-100
0.000774263682681127,0.004641588833612773,-99.0,BROKEN,5,-100
0.000774263682681127,0.021544346900318822,-99.0,BROKEN,2,-100
0.000774263682681127,0.1,-99.0,BROKEN,4264,-100
0.002154434690031882,1e-07,0.019904341844251563,STABLE,0,0.019904341844251563
0.002154434690031882,4.641588833612782e-07,0.09888732821230659,STABLE,0,0.09888732821230659
0.002154434690031882,2.1544346900318822e-06,-0.38051481988355723,STABLE,0,-0.38051481988355723
0.002154434690031882,9.999999999999999e-06,0.5586605534092316,STABLE,0,0.5586605534092316
0.002154434690031882,4.641588833612772e-05,-2.515020965870947,STABLE,1,-2.516020965870947
0.002154434690031882,0.00021544346900318823,-99.0,BROKEN,24,-100
0.002154434690031882,0.001,-99.0,BROKEN,2,-100
0.002154434690031882,0.004641588833612773,-99.0,BROKEN,11,-100
0.002154434690031882,0.021544346900318822,-99.0,BROKEN,19014,-100
0.002154434690031882,0.1,-99.0,BROKEN,2864,-100
