Taps,Mu_M,Mu_C,Steady_State_MSE,Stability
64,0.0001,1e-06,0.13146399330798383,PASS
64,0.0001,2.1544346900318822e-06,0.13160784533380956,PASS
64,0.0001,4.641588833612782e-06,0.1316153241952279,PASS
64,0.0001,9.999999999999999e-06,0.13151652931244023,PASS
64,0.0001,2.1544346900318823e-05,0.1317673487110725,PASS
64,0.0001,4.641588833612772e-05,0.13196763375904244,PASS
64,0.0001,0.0001,0.1320623266636274,PASS
64,0.0001,0.00021544346900318823,0.13245191387922747,PASS
64,0.0001,0.00046415888336127773,0.13321775196879776,PASS
64,0.0001,0.001,0.13559650501757595,PASS
64,0.00026826957952797245,1e-06,0.13177630722257994,PASS
64,0.00026826957952797245,2.1544346900318822e-06,0.13214884871620258,PASS
64,0.00026826957952797245,4.641588833612782e-06,0.13177714554131392,PASS
64,0.00026826957952797245,9.999999999999999e-06,0.1314794760632211,PASS
64,0.00026826957952797245,2.1544346900318823e-05,0.13169257049849478,PASS
64,0.00026826957952797245,4.641588833612772e-05,0.13182447355161325,PASS
64,0.00026826957952797245,0.0001,0.13305387526416468,PASS
64,0.00026826957952797245,0.00021544346900318823,0.13340034833378875,PASS
64,0.00026826957952797245,0.00046415888336127773,0.1357237200170297,PASS
64,0.00026826957952797245,0.001,0.14418082934036436,PASS
64,0.0007196856730011522,1e-06,0.1318282257369931,PASS
64,0.0007196856730011522,2.1544346900318822e-06,0.13177519640720994,PASS
64,0.0007196856730011522,4.641588833612782e-06,0.13202785246909068,PASS
64,0.0007196856730011522,9.999999999999999e-06,0.13198273807070138,PASS
64,0.0007196856730011522,2.1544346900318823e-05,0.1323502649767122,PASS
64,0.0007196856730011522,4.641588833612772e-05,0.1329931764560379,PASS
64,0.0007196856730011522,0.0001,0.1348526009434545,PASS
64,0.0007196856730011522,0.00021544346900318823,0.1367273626126116,PASS
64,0.0007196856730011522,0.00046415888336127773,0.14332458196515488,PASS
64,0.0007196856730011522,0.001,0.15506882417355827,PASS
64,0.0019306977288832496,1e-06,0.13179550123236564,PASS
64,0.0019306977288832496,2.1544346900318822e-06,0.13187045655768279,PASS
64,0.0019306977288832496,4.641588833612782e-06,0.13197897319981045,PASS
64,0.0019306977288832496,9.999999999999999e-06,0.13220565246628288,PASS
64,0.0019306977288832496,2.1544346900318823e-05,0.13288402164170512,PASS
64,0.0019306977288832496,4.641588833612772e-05,0.13344785788513325,PASS
64,0.0019306977288832496,0.0001,0.14008446316514225,PASS
64,0.0019306977288832496,0.00021544346900318823,0.15053576809897007,PASS
64,0.0019306977288832496,0.00046415888336127773,0.17146944403307218,PASS
64,0.0019306977288832496,0.001,0.2513674766650366,PASS
64,0.005179474679231213,1e-06,0.13235479648057655,PASS
64,0.005179474679231213,2.1544346900318822e-06,0.13186251780031877,PASS
64,0.005179474679231213,4.641588833612782e-06,0.13261303274046138,PASS
64,0.005179474679231213,9.999999999999999e-06,0.1339487321594235,PASS
64,0.005179474679231213,2.1544346900318823e-05,0.13595465734743947,PASS
64,0.005179474679231213,4.641588833612772e-05,0.1425542070597942,PASS
64,0.005179474679231213,0.0001,0.14901654389965036,PASS
