Mu_M,Mu_C,Median_MSE,Std_Dev,Stability
0.0001,1e-07,0.1320267588967665,1.8248189414384458e-05,PASS
0.0001,2.310129700083158e-07,0.13194178127919085,7.767070468606827e-05,PASS
0.0001,5.336699231206313e-07,0.13200005924621608,0.0001173275240712959,PASS
0.0001,1.232846739442066e-06,0.13150111522137617,0.00023941525214371531,PASS
0.0001,2.848035868435805e-06,0.13159562392902618,0.000749321548635105,PASS
0.0001,6.579332246575683e-06,0.13168943743010403,0.001096178202219084,PASS
0.0001,1.5199110829529332e-05,0.13460844251457343,0.00364959170821679,PASS
0.0001,3.511191734215127e-05,0.1212406579300679,0.0012456212460031208,PASS
0.0001,8.111308307896872e-05,0.1328050568492748,0.02182087610365365,PASS
0.0001,0.0001873817422860385,0.16209263172385316,0.03600920020425186,PASS
0.0001,0.00043287612810830614,0.3930578546399858,0.12519918368488825,PASS
0.0001,0.001,1.0869102622976743,470.5762929759032,FAIL
0.0001873817422860383,1e-07,0.1318387022369031,0.00015967864395771805,PASS
0.0001873817422860383,2.310129700083158e-07,0.13201763602068878,4.9623336433954415e-05,PASS
0.0001873817422860383,5.336699231206313e-07,0.13172719428949065,0.0003541152363116835,PASS
0.0001873817422860383,1.232846739442066e-06,0.13181830853275514,0.0009386388446075757,PASS
0.0001873817422860383,2.848035868435805e-06,0.1359169462265757,0.003198745072139483,PASS
0.0001873817422860383,6.579332246575683e-06,0.13119175580379291,0.004165717880844379,PASS
0.0001873817422860383,1.5199110829529332e-05,0.14865430683549768,0.012882448791618923,PASS
0.0001873817422860383,3.511191734215127e-05,0.11921808489420221,0.029347354882290226,PASS
0.0001873817422860383,8.111308307896872e-05,0.11214483675775423,0.2246236189111779,PASS
0.0001873817422860383,0.0001873817422860385,0.21977157026525912,470.85386452046265,PASS
0.0001873817422860383,0.00043287612810830614,24.191918137106132,12.203935988402053,FAIL
0.0001873817422860383,0.001,1.0096721727886258,470.48325375481403,FAIL
0.0003511191734215131,1e-07,0.13162604926326998,0.0001463328507448685,PASS
0.0003511191734215131,2.310129700083158e-07,0.1313446132543791,0.00013339349645041836,PASS
0.0003511191734215131,5.336699231206313e-07,0.13181872894548594,0.0009924016187066041,PASS
0.0003511191734215131,1.232846739442066e-06,0.132182423183293,0.0015927366247666913,PASS
0.0003511191734215131,2.848035868435805e-06,0.12878202354596652,0.0030987192750788497,PASS
0.0003511191734215131,6.579332246575683e-06,0.13445031816083797,0.01140007501163205,PASS
0.0003511191734215131,1.5199110829529332e-05,0.11594705091895659,0.003678088715137636,PASS
0.0003511191734215131,3.511191734215127e-05,0.1078229109770084,0.009372478695864266,PASS
0.0003511191734215131,8.111308307896872e-05,0.17526259244332473,0.2532507917776244,PASS
0.0003511191734215131,0.0001873817422860385,2.4318020031089578,3.2829996912287576,FAIL
0.0003511191734215131,0.00043287612810830614,3.2352707716456073,469.77844415214787,FAIL
0.0003511191734215131,0.001,999.0,469.42099231121574,FAIL
0.0006579332246575682,1e-07,0.13162931874711511,0.0002957770463750715,PASS
0.0006579332246575682,2.310129700083158e-07,0.1317573459261175,0.0005164078251180064,PASS
0.0006579332246575682,5.336699231206313e-07,0.13175375605264156,0.0011184268830695104,PASS
0.0006579332246575682,1.232846739442066e-06,0.1331497262440486,0.00020689604164220355,PASS
0.0006579332246575682,2.848035868435805e-06,0.13616551652976291,0.0029236792050704474,PASS
0.0006579332246575682,6.579332246575683e-06,0.13845222181014807,0.0016847985507733776,PASS
0.0006579332246575682,1.5199110829529332e-05,0.20238548170133017,0.048167139560102844,PASS
0.0006579332246575682,3.511191734215127e-05,0.13517200199734958,0.020711993878424578,PASS
